Number of generations,Best-of-n Time (s),Best-of-n Total tokens,Beam search Time (s),Beam search Total tokens,Diverse verifier tree search Time (s),Diverse verifier tree search Total tokens
4,3.134284257888794,1776,4.033803224563599,1141,5.506884574890137,1233
8,9.442092895507812,4734,9.080734014511108,2640,5.627837419509888,2508
16,3.3680801391601562,5956,18.3800048828125,4831,9.962214231491089,5500
32,7.884322643280029,13277,31.162450313568115,8366,13.145011901855469,10747
64,10.13251280784607,25438,33.61720037460327,22378,22.17203950881958,21032
128,15.467107772827148,45953,77.12722492218018,39153,47.67411971092224,43722
256,37.6862313747406,100914,1362.8504917621613,70370,95.57785773277283,88033
